articleName,realEstateTypeName,tradeTypeName,floorInfo,dealOrWarrantPrc,areaName,area2,buildingName,cpPcArticleUrl
SK비전,아파트,매매,4/15,"3억 2,000",111,84,101동,http://www.serve.co.kr/naver/rd.asp?UID=2234750017
SK비전,아파트,매매,2/15,3억,111,84,102동,http://ten.co.kr/rd/rd.asp?UID=2233166095
SK비전,아파트,매매,5/15,3억,111,84,102동,http://ten.co.kr/rd/rd.asp?UID=2231524090
SK비전,아파트,매매,중/15,"3억 3,000",111,84,101동,https://www.r114.com/z/depot/public/ArticleFromNbp.r114?UID=2231750356
SK비전,아파트,매매,13/15,"3억 3,000",111,84,102동,http://ten.co.kr/rd/rd.asp?UID=2231795517
SK비전,아파트,매매,고/15,"3억 6,000",111,84,102동,http://ten.co.kr/rd/rd.asp?UID=2232210964
SK비전,아파트,매매,중/15,"3억 4,500",111,84,102동,http://www.serve.co.kr/naver/rd.asp?UID=2231319194
SK비전,아파트,매매,중/15,"3억 4,000",111,84,101동,http://www.serve.co.kr/naver/rd.asp?UID=2231331497
SK비전,아파트,매매,12/15,"3억 3,000",111,84,101동,http://www.karhanbang.com/naver_link.asp?UID=2232161825
SK비전,아파트,매매,13/15,"3억 3,000",111,84,102동,http://www.karhanbang.com/naver_link.asp?UID=2231524262
YM프라젠,아파트,매매,12/13,"4억 2,000",126,101,101동,http://www.serve.co.kr/naver/rd.asp?UID=2231266292
YM프라젠하우스,아파트,매매,3/4,"3억 5,000",119B,84,102동,http://ten.co.kr/rd/rd.asp?UID=2235616973
YM프라젠하우스,아파트,매매,1/4,"3억 4,000",119A,84,106동,http://land.mk.co.kr/rd/rd.php?UID=2231399372
덕동마을신일유토빌,아파트,매매,14/15,"2억 8,000",110A,84,1동,http://www.serve.co.kr/naver/rd.asp?UID=2234041803
덕동마을신일유토빌,아파트,매매,1/15,"2억 4,500",110B,84,1동,http://ten.co.kr/rd/rd.asp?UID=2233845410
덕동마을신일유토빌,아파트,매매,14/15,3억,110B,84,1동,http://ten.co.kr/rd/rd.asp?UID=2233032394
동성한아름,아파트,매매,13/13,"2억 3,500",89,72,301동,http://www.serve.co.kr/naver/rd.asp?UID=2234538617
동성한아름,아파트,매매,4/13,"2억 5,500",89,72,303동,http://land.mk.co.kr/rd/rd.php?UID=2234546346
동성한아름,아파트,매매,고/13,"2억 4,500",89,72,303동,http://ten.co.kr/rd/rd.asp?UID=2234895794
동성한아름,아파트,매매,7/13,"2억 5,500",89,72,301동,http://ten.co.kr/rd/rd.asp?UID=2233752191
동성한아름,아파트,전세,9/13,"2억 1,000",89,72,303동,http://ten.co.kr/rd/rd.asp?UID=2234329855
동성한아름,아파트,매매,9/13,"2억 6,000",89,72,302동,http://ten.co.kr/rd/rd.asp?UID=2234119387
동성한아름,아파트,매매,12/13,"2억 5,000",89,72,301동,http://www.serve.co.kr/naver/rd.asp?UID=2232441538
동성한아름,아파트,전세,13/13,"2억 1,000",89,72,303동,http://land.mk.co.kr/rd/rd.php?UID=2232574732
동성한아름,아파트,매매,6/13,"2억 6,500",89,72,303동,http://ten.co.kr/rd/rd.asp?UID=2232109686
동성한아름,아파트,매매,12/13,"2억 5,000",89,72,302동,http://ten.co.kr/rd/rd.asp?UID=2232109074
동성한아름,아파트,매매,9/13,"2억 5,500",89,72,303동,http://ten.co.kr/rd/rd.asp?UID=2232024004
동성한아름,아파트,매매,13/13,"2억 6,000",89,72,303동,http://ten.co.kr/rd/rd.asp?UID=2233271752
동성한아름,아파트,매매,13/13,"2억 3,000",89,72,301동,http://ten.co.kr/rd/rd.asp?UID=2232628443
동성한아름,아파트,매매,중/13,"2억 4,000",89,72,302동,http://land.mk.co.kr/rd/rd.php?UID=2232440881
동성효성,아파트,매매,7/15,"2억 3,500",88,72,202동,http://www.serve.co.kr/naver/rd.asp?UID=2234589278
동성효성,아파트,매매,14/15,"2억 3,500",88,72,202동,http://land.kcrwork.com/partner/naver/redirect/?UID=2234481815
동성효성,아파트,매매,15/15,"2억 3,500",88,72,202동,http://www.serve.co.kr/naver/rd.asp?UID=2234377424
동성효성,아파트,매매,저/15,"2억 2,000",88,72,201동,http://land.mk.co.kr/rd/rd.php?UID=2231314854
동아동백,아파트,전세,12/17,"1억 7,000",78,58,101동,http://ten.co.kr/rd/rd.asp?UID=2235091400
동아동백,아파트,월세,3/16,"4,000",107,84,103동,http://land.kcrwork.com/partner/naver/redirect/?UID=2235552643
동아동백,아파트,전세,13/17,"1억 5,000",78,58,101동,http://ten.co.kr/rd/rd.asp?UID=2235423209
동아동백,아파트,월세,8/16,"2,000",107,84,102동,http://ten.co.kr/rd/rd.asp?UID=2235103002
동아동백,아파트,전세,1/17,"1억 5,000",78,58,101동,http://ten.co.kr/rd/rd.asp?UID=2234973649
동아동백,아파트,매매,13/17,"2억 1,000",78,58,101동,http://www.serve.co.kr/naver/rd.asp?UID=2234926877
동아동백,아파트,전세,5/16,"2억 1,000",107,84,103동,http://ten.co.kr/rd/rd.asp?UID=2234818775
동아동백,아파트,전세,14/17,"1억 6,000",78,58,101동,http://ten.co.kr/rd/rd.asp?UID=2233478486
동아동백,아파트,월세,3/16,"4,000",107,84,103동,http://ten.co.kr/rd/rd.asp?UID=2233278677
동아동백,아파트,매매,저/17,2억,78,58,101동,http://land.mk.co.kr/rd/rd.php?UID=2233513647
동아동백,아파트,매매,저/16,"2억 7,000",107,84,103동,http://land.mk.co.kr/rd/rd.php?UID=2233514397
동아동백,아파트,매매,2/16,"2억 4,000",107,84,103동,http://land.kcrwork.com/partner/naver/redirect/?UID=2232523994
동아동백,아파트,매매,1/16,"2억 7,500",107,84,103동,http://www.serve.co.kr/naver/rd.asp?UID=2231264033
동아동백,아파트,전세,12/17,"1억 7,000",78,58,101동,http://www.karhanbang.com/naver_link.asp?UID=2235010995
동아동백,아파트,전세,13/17,"1억 5,000",78,58,101동,http://www.karhanbang.com/naver_link.asp?UID=2234620045
동아동백,아파트,월세,8/16,"2,000",107,84,102동,http://www.karhanbang.com/naver_link.asp?UID=2234311978
동아동백,아파트,매매,13/17,"2억 2,000",78,58,101동,http://www.karhanbang.com/naver_link.asp?UID=2234110048
동아모란,아파트,매매,7/16,"2억 8,000",107,84,102동,http://www.serve.co.kr/naver/rd.asp?UID=2235591157
동아모란,아파트,매매,10/15,"1억 9,900",80,58,101동,http://ten.co.kr/rd/rd.asp?UID=2234119282
동아모란,아파트,매매,고/16,"2억 8,500",107,84,102동,http://www.serve.co.kr/naver/rd.asp?UID=2233775071
동아모란,아파트,매매,12/15,"1억 9,900",80,58,101동,http://ten.co.kr/rd/rd.asp?UID=2232693675
동아모란,아파트,매매,14/15,"1억 9,500",80,58,101동,http://www.karhanbang.com/naver_link.asp?UID=2234099900
동아목련,아파트,매매,중/17,"2억 6,000",102,84,103동,http://www.serve.co.kr/naver/rd.asp?UID=2235581616
동아목련,아파트,매매,중/20,"2억 7,500",102,84,102동,http://www.serve.co.kr/naver/rd.asp?UID=2235581694
동아목련,아파트,매매,13/20,"2억 7,500",102,84,101동,http://ten.co.kr/rd/rd.asp?UID=2235660889
동아목련,아파트,매매,17/20,"3억 7,000",162,134,102동,http://ten.co.kr/rd/rd.asp?UID=2234674332
동아목련,아파트,매매,3/20,"3억 4,000",162,134,102동,http://ten.co.kr/rd/rd.asp?UID=2234340920
동아목련,아파트,전세,10/20,"2억 3,000",102,84,101동,http://ten.co.kr/rd/rd.asp?UID=2234492862
동아목련,아파트,매매,5/20,"2억 8,000",102,84,101동,http://land.mk.co.kr/rd/rd.php?UID=2232870548
동아목련,아파트,매매,6/20,"2억 4,000",102,84,101동,http://www.serve.co.kr/naver/rd.asp?UID=2234100233
동아목련,아파트,매매,중/20,"2억 8,000",102,84,101동,http://ten.co.kr/rd/rd.asp?UID=2235004276
동아목련,아파트,매매,19/20,"2억 9,000",102,84,101동,http://ten.co.kr/rd/rd.asp?UID=2233270064
동아목련,아파트,매매,6/20,"2억 8,000",102,84,101동,http://ten.co.kr/rd/rd.asp?UID=2233270728
동아목련,아파트,매매,고/20,"3억 7,000",162,134,102동,http://ten.co.kr/rd/rd.asp?UID=2234155322
동아목련,아파트,월세,중/17,"1,500",102,84,103동,http://ten.co.kr/rd/rd.asp?UID=2234156541
동아목련,아파트,매매,8/20,"4억 5,000",199A,164,102동,http://ten.co.kr/rd/rd.asp?UID=2232718935
동아목련,아파트,매매,8/15,"2억 7,000",102,84,104동,http://ten.co.kr/rd/rd.asp?UID=2232796164
동아목련,아파트,매매,10/15,"2억 6,500",102,84,104동,http://ten.co.kr/rd/rd.asp?UID=2232525083
동아목련,아파트,매매,12/15,"2억 6,000",102,84,104동,http://ten.co.kr/rd/rd.asp?UID=2232150582
동아목련,아파트,매매,2/15,"2억 5,000",102,84,104동,http://ten.co.kr/rd/rd.asp?UID=2231819615
동아목련,아파트,매매,중/20,3억,102,84,101동,http://ten.co.kr/rd/rd.asp?UID=2232795745
동아목련,아파트,매매,고/20,"2억 8,000",102,84,102동,http://ten.co.kr/rd/rd.asp?UID=2232150762
동아목련,아파트,매매,중/20,5억,199B,164,102동,http://ten.co.kr/rd/rd.asp?UID=2231819419
동아목련,아파트,매매,저/20,"3억 9,000",162,134,102동,http://land.kcrwork.com/partner/naver/redirect/?UID=2231892194
동아목련,아파트,매매,중/20,"3억 6,000",199B,164,102동,http://ten.co.kr/rd/rd.asp?UID=2231819516
동아목련,아파트,매매,5/20,"2억 8,000",102,84,101동,http://www.karhanbang.com/naver_link.asp?UID=2234435902
동아목련,아파트,전세,10/20,"2억 4,000",102,84,101동,http://www.karhanbang.com/naver_link.asp?UID=2234198688
동아백합,아파트,매매,14/16,"2억 7,000",107,84,102동,http://www.serve.co.kr/naver/rd.asp?UID=2235456532
동아백합,아파트,매매,9/16,"2억 7,000",107,84,102동,http://www.serve.co.kr/naver/rd.asp?UID=2232681169
럭키덕동,아파트,매매,6/15,3억,102,84,105동,http://www.serve.co.kr/naver/rd.asp?UID=2235734741
럭키덕동,아파트,매매,13/14,"3억 8,000",121,101,103동,http://www.serve.co.kr/naver/rd.asp?UID=2234856539
럭키덕동,아파트,매매,고/15,"3억 1,000",102,84,106동,http://www.serve.co.kr/naver/rd.asp?UID=2234909279
럭키덕동,아파트,매매,고/15,3억 500,102,84,108동,http://www.serve.co.kr/naver/rd.asp?UID=2234776847
럭키덕동,아파트,매매,1/14,"3억 6,000",121,101,103동,http://www.serve.co.kr/naver/rd.asp?UID=2234986599
럭키덕동,아파트,전세,고/15,"2억 1,000",102,84,105동,http://ten.co.kr/rd/rd.asp?UID=2235606044
럭키덕동,아파트,전세,1/15,2억,102,84,105동,http://land.kcrwork.com/partner/naver/redirect/?UID=2234485463
럭키덕동,아파트,매매,중/15,3억 500,102,84,105동,http://ten.co.kr/rd/rd.asp?UID=2235179822
럭키덕동,아파트,매매,4/15,"2억 9,000",102,84,105동,http://ten.co.kr/rd/rd.asp?UID=2233145559
럭키덕동,아파트,매매,저/15,"2억 8,000",102,84,105동,http://land.kcrwork.com/partner/naver/redirect/?UID=2234483605
럭키덕동,아파트,매매,6/14,"3억 2,000",121,101,102동,http://ten.co.kr/rd/rd.asp?UID=2233388696
럭키덕동,아파트,전세,고/14,"2억 3,000",121,101,101동,http://ten.co.kr/rd/rd.asp?UID=2233584944
럭키덕동,아파트,매매,5/15,"2억 8,500",102,84,105동,http://ten.co.kr/rd/rd.asp?UID=2232480142
럭키덕동,아파트,매매,14/14,"3억 5,000",121,101,101동,http://ten.co.kr/rd/rd.asp?UID=2232481252
럭키덕동,아파트,매매,중/15,"3억 1,000",102,84,106동,http://ten.co.kr/rd/rd.asp?UID=2233145667
럭키덕동,아파트,매매,고/15,"3억 1,000",102,84,107동,http://ten.co.kr/rd/rd.asp?UID=2233145797
럭키덕동,아파트,매매,고/14,"2억 8,000",102,84,104동,http://ten.co.kr/rd/rd.asp?UID=2233145415
럭키덕동,아파트,매매,중/14,"3억 5,000",121,101,102동,http://ten.co.kr/rd/rd.asp?UID=2233145970
럭키덕동,아파트,매매,12/15,"2억 8,500",102,84,105동,http://ten.co.kr/rd/rd.asp?UID=2232130372
럭키덕동,아파트,매매,9/14,"3억 8,000",121,101,101동,http://ten.co.kr/rd/rd.asp?UID=2232024042
럭키덕동,아파트,매매,중/15,"2억 9,500",102,84,105동,http://ten.co.kr/rd/rd.asp?UID=2232480375
럭키덕동,아파트,매매,고/15,"2억 9,000",102,84,106동,http://ten.co.kr/rd/rd.asp?UID=2232480777
럭키덕동,아파트,매매,고/15,3억,102,84,107동,http://ten.co.kr/rd/rd.asp?UID=2232480949
럭키덕동,아파트,매매,고/15,"3억 1,000",102,84,108동,http://ten.co.kr/rd/rd.asp?UID=2231712710
럭키덕동,아파트,매매,중/15,"2억 9,500",102,84,108동,http://ten.co.kr/rd/rd.asp?UID=2231713032
럭키덕동,아파트,전세,중/14,"2억 1,000",102,84,104동,http://www.karhanbang.com/naver_link.asp?UID=2235181423
럭키덕동,아파트,매매,중/14,"2억 8,000",102,84,104동,http://www.karhanbang.com/naver_link.asp?UID=2234765310
럭키덕동,아파트,전세,고/14,"2억 3,000",121,101,101동,http://www.karhanbang.com/naver_link.asp?UID=2234764651
럭키덕동,아파트,전세,1/15,2억,102,84,105동,http://www.karhanbang.com/naver_link.asp?UID=2234694144
럭키덕동,아파트,매매,저/15,"2억 8,500",102,84,105동,http://www.karhanbang.com/naver_link.asp?UID=2232076596
명진비전파크,아파트,매매,중/8,"2억 5,000",95,73,102동,https://www.rfine.kr/rd/rd.php?UID=2231413850
문화,아파트,월세,6/12,"1,000",69,49,102동,http://land.mk.co.kr/rd/rd.php?UID=2235775147
문화,아파트,전세,6/12,"1억 6,500",69,49,101동,http://ten.co.kr/rd/rd.asp?UID=2235588879
문화,아파트,전세,4/11,"1억 6,500",69,49,104동,http://ten.co.kr/rd/rd.asp?UID=2235588723
문화,아파트,전세,2/12,"1억 6,500",69,49,103동,http://ten.co.kr/rd/rd.asp?UID=2235439506
문화,아파트,전세,3/12,"1억 7,000",69,49,102동,http://land.mk.co.kr/rd/rd.php?UID=2234503551
문화,아파트,매매,4/12,"1억 8,500",69,49,101동,http://land.mk.co.kr/rd/rd.php?UID=2234472412
문화,아파트,매매,7/12,"1억 8,500",69,49,103동,http://land.mk.co.kr/rd/rd.php?UID=2234471989
문화,아파트,매매,중/12,"1억 8,500",69,49,102동,http://land.mk.co.kr/rd/rd.php?UID=2234723267
문화,아파트,매매,1/11,"1억 6,500",69,49,105동,http://www.serve.co.kr/naver/rd.asp?UID=2233763854
문화,아파트,매매,고/12,"1억 9,000",69,49,102동,http://www.serve.co.kr/naver/rd.asp?UID=2234580543
문화,아파트,전세,중/11,"1억 6,000",69,49,105동,http://land.mk.co.kr/rd/rd.php?UID=2234502084
문화,아파트,매매,중/12,"1억 7,500",69,49,103동,http://land.mk.co.kr/rd/rd.php?UID=2234472924
문화,아파트,매매,3/11,"1억 8,500",69,49,104동,http://land.mk.co.kr/rd/rd.php?UID=2232430509
문화,아파트,매매,7/11,"1억 8,500",69,49,105동,http://ten.co.kr/rd/rd.asp?UID=2231740963
문화,아파트,매매,중/12,"1억 8,500",69,49,102동,http://land.mk.co.kr/rd/rd.php?UID=2232657881
문화,아파트,매매,3/12,"1억 8,000",69,49,101동,http://land.mk.co.kr/rd/rd.php?UID=2231573275
문화,아파트,전세,고/12,"1억 7,000",69,49,102동,http://www.serve.co.kr/naver/rd.asp?UID=2232681483
문화,아파트,매매,고/12,"1억 8,000",69,49,101동,http://land.mk.co.kr/rd/rd.php?UID=2232552072
문화,아파트,매매,6/12,"1억 8,200",69,49,102동,http://land.mk.co.kr/rd/rd.php?UID=2231317870
문화,아파트,매매,9/12,"1억 8,200",69,49,103동,http://land.mk.co.kr/rd/rd.php?UID=2231313740
문화,아파트,전세,중/12,"1억 5,500",69,49,103동,http://land.mk.co.kr/rd/rd.php?UID=2231752158
문화,아파트,매매,9/11,"1억 9,000",69,49,104동,http://www.karhanbang.com/naver_link.asp?UID=2234099785
문화,아파트,매매,10/11,"1억 8,000",69,49,105동,http://www.karhanbang.com/naver_link.asp?UID=2234099663
문화,아파트,전세,4/11,"1억 6,000",69,49,104동,http://www.karhanbang.com/naver_link.asp?UID=2232002931
벽산,아파트,전세,14/16,"1억 8,000",78,59,101동,http://www.peterpanz.com/rd/rd.php?UID=2234229274
벽산,아파트,매매,11/17,"2억 9,500",105,84,104동,http://www.serve.co.kr/naver/rd.asp?UID=2235547280
벽산,아파트,매매,14/16,"2억 3,000",78,59,101동,http://ten.co.kr/rd/rd.asp?UID=2235096587
벽산,아파트,매매,16/16,"2억 3,000",78,59,102동,http://land.mk.co.kr/rd/rd.php?UID=2233332578
벽산,아파트,매매,18/18,"2억 9,000",105,84,103동,http://ten.co.kr/rd/rd.asp?UID=2234444529
벽산,아파트,매매,11/18,3억,105,84,103동,http://ten.co.kr/rd/rd.asp?UID=2234444324
벽산,아파트,매매,14/16,"2억 3,500",78,59,101동,http://ten.co.kr/rd/rd.asp?UID=2232466311
벽산,아파트,매매,17/17,"2억 6,000",105,84,104동,http://ten.co.kr/rd/rd.asp?UID=2231807424
벽산,아파트,매매,11/18,3억,105,84,103동,http://www.karhanbang.com/naver_link.asp?UID=2235378749
비전경남아너스빌,아파트,매매,3/18,"4억 4,000",149B,121,102동,http://www.peterpanz.com/rd/rd.php?UID=2235729023
비전경남아너스빌,아파트,매매,3/18,"3억 9,000",108A,84,106동,http://ten.co.kr/rd/rd.asp?UID=2235762743
비전경남아너스빌,아파트,매매,4/12,"3억 8,000",108A,84,115동,http://www.serve.co.kr/naver/rd.asp?UID=2235702311
비전경남아너스빌,아파트,매매,4/18,"3억 7,000",108B,84,105동,http://www.serve.co.kr/naver/rd.asp?UID=2235374368
비전경남아너스빌,아파트,매매,18/18,"3억 7,000",108B,84,105동,http://www.serve.co.kr/naver/rd.asp?UID=2235346932
비전경남아너스빌,아파트,매매,7/19,"3억 8,000",108A,84,110동,http://www.serve.co.kr/naver/rd.asp?UID=2235345746
비전경남아너스빌,아파트,매매,3/19,"3억 1,500",82A,59,111동,http://land.kcrwork.com/partner/naver/redirect/?UID=2235306742
비전경남아너스빌,아파트,매매,8/19,"3억 1,500",82B,59,111동,http://www.serve.co.kr/naver/rd.asp?UID=2235265779
비전경남아너스빌,아파트,매매,3/16,"3억 7,500",108C,84,118동,http://land.mk.co.kr/rd/rd.php?UID=2233933262
비전경남아너스빌,아파트,매매,2/12,3억,82A,59,113동,http://www.serve.co.kr/naver/rd.asp?UID=2235162404
비전경남아너스빌,아파트,매매,9/19,"3억 8,000",108A,84,109동,http://www.serve.co.kr/naver/rd.asp?UID=2235020162
비전경남아너스빌,아파트,매매,9/19,"4억 1,000",108A,84,109동,http://www.serve.co.kr/naver/rd.asp?UID=2234752363
비전경남아너스빌,아파트,매매,저/19,"3억 1,000",82A,59,111동,http://www.serve.co.kr/naver/rd.asp?UID=2235501485
비전경남아너스빌,아파트,매매,7/19,"3억 8,000",108A,84,110동,http://ten.co.kr/rd/rd.asp?UID=2234817014
비전경남아너스빌,아파트,매매,16/16,3억,82A,59,112동,http://www.serve.co.kr/naver/rd.asp?UID=2234283190
비전경남아너스빌,아파트,매매,4/18,"3억 7,000",108B,84,105동,http://www.serve.co.kr/naver/rd.asp?UID=2234317490
비전경남아너스빌,아파트,매매,14/19,"3억 9,000",108A,84,109동,http://www.serve.co.kr/naver/rd.asp?UID=2234283861
비전경남아너스빌,아파트,매매,2/16,"3억 1,000",82A,59,117동,http://ten.co.kr/rd/rd.asp?UID=2234259838
비전경남아너스빌,아파트,매매,18/18,"3억 6,500",108B,84,105동,http://ten.co.kr/rd/rd.asp?UID=2234119933
비전경남아너스빌,아파트,전세,9/19,3억,108A,84,109동,http://www.serve.co.kr/naver/rd.asp?UID=2233809963
비전경남아너스빌,아파트,매매,9/18,5억,150A,122,108동,http://www.serve.co.kr/naver/rd.asp?UID=2233764185
비전경남아너스빌,아파트,매매,6/19,"3억 8,000",108A,84,109동,http://land.kcrwork.com/partner/naver/redirect/?UID=2233593510
비전경남아너스빌,아파트,매매,7/12,4억,108A,84,115동,http://land.mk.co.kr/rd/rd.php?UID=2233512977
비전경남아너스빌,아파트,매매,저/18,"4억 6,000",149B,121,102동,http://www.serve.co.kr/naver/rd.asp?UID=2234257311
비전경남아너스빌,아파트,매매,11/18,"3억 9,000",108B,84,101동,http://land.mk.co.kr/rd/rd.php?UID=2232068451
비전경남아너스빌,아파트,매매,11/18,"4억 5,000",149B,121,101동,http://www.serve.co.kr/naver/rd.asp?UID=2233367395
비전경남아너스빌,아파트,매매,5/18,"4억 6,000",149B,121,101동,http://www.serve.co.kr/naver/rd.asp?UID=2233356532
비전경남아너스빌,아파트,매매,저/18,"3억 8,500",108A,84,106동,http://www.serve.co.kr/naver/rd.asp?UID=2233987710
비전경남아너스빌,아파트,매매,10/18,"3억 8,500",108B,84,105동,http://www.serve.co.kr/naver/rd.asp?UID=2232952706
비전경남아너스빌,아파트,매매,11/18,"4억 5,000",149B,121,104동,http://www.serve.co.kr/naver/rd.asp?UID=2232957980
비전경남아너스빌,아파트,매매,3/19,4억,108A,84,109동,http://www.serve.co.kr/naver/rd.asp?UID=2232971855
비전경남아너스빌,아파트,매매,15/18,"4억 1,000",108B,84,104동,http://www.serve.co.kr/naver/rd.asp?UID=2233056092
비전경남아너스빌,아파트,매매,3/18,"3억 8,000",108B,84,103동,http://www.serve.co.kr/naver/rd.asp?UID=2232951063
비전경남아너스빌,아파트,매매,4/12,4억,108A,84,119동,http://www.serve.co.kr/naver/rd.asp?UID=2232939568
비전경남아너스빌,아파트,매매,고/12,"3억 1,500",82A,59,114동,http://www.serve.co.kr/naver/rd.asp?UID=2232279334
비전경남아너스빌,아파트,매매,2/19,"2억 9,000",82B,59,111동,http://www.serve.co.kr/naver/rd.asp?UID=2232777703
비전경남아너스빌,아파트,매매,17/18,"4억 5,000",149B,121,102동,http://www.serve.co.kr/naver/rd.asp?UID=2232768517
비전경남아너스빌,아파트,매매,16/18,5억,149B,121,103동,http://www.serve.co.kr/naver/rd.asp?UID=2232618870
비전경남아너스빌,아파트,매매,14/15,"4억 8,000",150A,122,107동,http://www.serve.co.kr/naver/rd.asp?UID=2232610802
비전경남아너스빌,아파트,전세,2/19,"1억 9,000",82B,59,111동,http://www.serve.co.kr/naver/rd.asp?UID=2232618717
비전경남아너스빌,아파트,매매,11/18,"4억 1,500",108A,84,106동,http://www.serve.co.kr/naver/rd.asp?UID=2232607415
비전경남아너스빌,아파트,매매,19/19,4억,108A,84,110동,http://www.serve.co.kr/naver/rd.asp?UID=2231910056
비전경남아너스빌,아파트,매매,6/18,"3억 8,500",108B,84,102동,http://ten.co.kr/rd/rd.asp?UID=2231824963
비전경남아너스빌,아파트,매매,6/12,"3억 1,000",82A,59,116동,http://www.serve.co.kr/naver/rd.asp?UID=2231847842
비전경남아너스빌,아파트,매매,10/19,"3억 1,500",82A,59,111동,http://www.serve.co.kr/naver/rd.asp?UID=2231591813
비전경남아너스빌,아파트,월세,16/19,"2,000",108A,84,110동,http://ten.co.kr/rd/rd.asp?UID=2231487776
비전경남아너스빌,아파트,매매,저/18,"4억 3,000",149B,121,103동,http://www.serve.co.kr/naver/rd.asp?UID=2231951365
비전경남아너스빌,아파트,전세,저/18,"2억 8,000",108B,84,105동,http://www.serve.co.kr/naver/rd.asp?UID=2231580846
비전경남아너스빌,아파트,매매,3/19,"3억 1,000",82A,59,111동,http://www.karhanbang.com/naver_link.asp?UID=2235502885
비전경남아너스빌,아파트,매매,6/19,"3억 1,000",82A,59,111동,http://www.karhanbang.com/naver_link.asp?UID=2235503285
비전경남아너스빌,아파트,매매,9/19,"3억 8,000",108A,84,109동,http://www.karhanbang.com/naver_link.asp?UID=2235257274
비전경남아너스빌,아파트,매매,10/12,"3억 1,500",82A,59,114동,http://www.karhanbang.com/naver_link.asp?UID=2235255965
비전경남아너스빌,아파트,매매,저/18,"3억 7,500",108B,84,105동,http://www.karhanbang.com/naver_link.asp?UID=2235307052
비전경남아너스빌,아파트,매매,3/18,"4억 4,500",149B,121,102동,http://www.karhanbang.com/naver_link.asp?UID=2235255139
비전경남아너스빌,아파트,매매,7/12,4억,108A,84,115동,http://www.karhanbang.com/naver_link.asp?UID=2232641882
비전경남아너스빌,아파트,매매,13/16,"3억 8,000",108B,84,118동,http://www.karhanbang.com/naver_link.asp?UID=2232303489
비전경남아너스빌,아파트,매매,7/19,"3억 8,000",108A,84,110동,http://www.karhanbang.com/naver_link.asp?UID=2232149476
비전경남아너스빌,아파트,매매,6/15,"4억 6,000",150A,122,107동,http://www.karhanbang.com/naver_link.asp?UID=2231735111
비전경남아너스빌,아파트,매매,10/19,"3억 1,500",82A,59,111동,http://www.karhanbang.com/naver_link.asp?UID=2231515208
비전경남아너스빌,아파트,전세,4/18,"2억 8,000",108B,84,105동,http://www.karhanbang.com/naver_link.asp?UID=2231426574
비전롯데캐슬,아파트,매매,2/20,"5억 5,000",151C,122,109동,http://www.serve.co.kr/naver/rd.asp?UID=2235734839
비전롯데캐슬,아파트,매매,17/20,"5억 3,000",151A,122,107동,http://www.serve.co.kr/naver/rd.asp?UID=2235380389
비전롯데캐슬,아파트,전세,17/20,"3억 2,000",151A,122,107동,http://www.serve.co.kr/naver/rd.asp?UID=2235508260
비전롯데캐슬,아파트,매매,저/20,"3억 6,000",109B,84,108동,http://www.serve.co.kr/naver/rd.asp?UID=2235734914
비전롯데캐슬,아파트,매매,18/20,5억,151A,122,107동,http://www.serve.co.kr/naver/rd.asp?UID=2235645875
비전롯데캐슬,아파트,매매,15/20,"4억 3,500",109B,84,108동,http://ten.co.kr/rd/rd.asp?UID=2235409626
비전롯데캐슬,아파트,전세,10/20,"2억 3,000",109A,84,105동,http://land.kcrwork.com/partner/naver/redirect/?UID=2235632211
비전롯데캐슬,아파트,매매,10/20,"5억 6,000",151A,122,110동,http://ten.co.kr/rd/rd.asp?UID=2235410355
비전롯데캐슬,아파트,매매,4/18,"5억 1,000",151A,122,111동,http://land.mk.co.kr/rd/rd.php?UID=2235494088
비전롯데캐슬,아파트,매매,8/20,4억,109A,84,104동,http://www.serve.co.kr/naver/rd.asp?UID=2234764141
비전롯데캐슬,아파트,매매,15/20,"5억 3,000",151A,122,109동,http://www.serve.co.kr/naver/rd.asp?UID=2234277232
비전롯데캐슬,아파트,매매,7/20,4억,109A,84,104동,http://ten.co.kr/rd/rd.asp?UID=2234052334
비전롯데캐슬,아파트,매매,중/20,"4억 2,000",109B,84,101동,http://www.serve.co.kr/naver/rd.asp?UID=2234764843
비전롯데캐슬,아파트,매매,17/20,"3억 8,000",109B,84,102동,http://land.mk.co.kr/rd/rd.php?UID=2233894491
비전롯데캐슬,아파트,매매,중/20,5억,151A,122,106동,http://www.serve.co.kr/naver/rd.asp?UID=2234328384
비전롯데캐슬,아파트,매매,6/20,"5억 7,000",151A,122,106동,http://www.serve.co.kr/naver/rd.asp?UID=2233431542
비전롯데캐슬,아파트,매매,5/20,"4억 2,500",109A,84,103동,http://www.serve.co.kr/naver/rd.asp?UID=2233405966
비전롯데캐슬,아파트,매매,중/20,"4억 5,000",109A,84,103동,http://www.serve.co.kr/naver/rd.asp?UID=2233985073
비전롯데캐슬,아파트,매매,중/20,"4억 1,000",109A,84,105동,http://www.serve.co.kr/naver/rd.asp?UID=2233985443
비전롯데캐슬,아파트,매매,3/18,"5억 3,000",151A,122,111동,http://ten.co.kr/rd/rd.asp?UID=2233033073
비전롯데캐슬,아파트,매매,16/20,"3억 8,000",109B,84,101동,http://ten.co.kr/rd/rd.asp?UID=2233031373
비전롯데캐슬,아파트,매매,13/20,"4억 1,000",109B,84,102동,http://ten.co.kr/rd/rd.asp?UID=2233031912
